date,open,high,low,close,adj_close,volume,dividend,split,DIFF,DEA,MACD,MACDS
2000/1/10,67.842,68.812,66.46966666666667,67.61233333333332,26.82,6284934.433333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/11,67.43466666666667,68.91633333333333,66.24433333333333,67.248,26.63566666666667,6753550.0,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/12,67.349,68.38466666666666,66.00266666666667,66.679,26.457666666666668,6661331.133333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/13,67.369,68.38933333333333,66.17833333333333,67.367,26.630999999999997,6221632.233333333,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/14,68.20533333333334,69.55,67.33533333333334,68.45433333333334,26.954333333333334,7971734.466666667,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/18,68.06133333333334,69.62100000000001,66.89266666666667,68.14933333333333,26.845000000000002,7145352.233333333,0.010666666666666666,1.0,0.0,0.0,0.0,0.0
2000/1/19,68.009,69.48333333333333,66.961,68.19266666666667,26.93433333333333,6897800.0,0.010666666666666666,1.0,0.0,0.0,0.0,0.0
2000/1/20,68.85033333333334,69.75866666666666,66.94066666666667,67.86033333333333,26.672666666666665,6881877.766666667,0.004,1.0,0.0,0.0,0.0,0.0
2000/1/21,68.41133333333333,68.838,66.45033333333333,67.38066666666667,26.561666666666667,6486856.666666667,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/24,67.55533333333334,68.66966666666667,64.62633333333333,65.433,25.75766666666667,6730662.233333333,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/25,65.74466666666666,67.303,64.349,66.24833333333333,26.02466666666667,7189178.9,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/26,66.20633333333333,67.62666666666667,64.84866666666667,65.96866666666666,25.913333333333334,6437640.0,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/27,66.24266666666666,67.31466666666667,64.29433333333333,65.571,25.71466666666667,6832804.466666667,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/28,65.02433333333333,65.99333333333333,63.26033333333333,63.915333333333336,25.12933333333333,6322533.333333333,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/3,67.306,68.12866666666666,65.25500000000001,66.42133333333332,26.090666666666667,6679402.233333333,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/31,63.74366666666666,65.99833333333333,62.75,65.40633333333334,25.749000000000002,6831061.133333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/1/4,65.38033333333334,66.38733333333333,63.297333333333334,63.95766666666667,25.125999999999998,6451438.9,0.013666666666666666,1.0,0.0,0.0,0.0,0.0
2000/1/5,64.05633333333334,66.14666666666668,63.296,64.94433333333333,25.508666666666667,7510057.8,0.007333333333333333,1.0,0.0,0.0,0.0,0.0
2000/1/6,64.66133333333333,66.46666666666667,63.421,64.83666666666666,25.540000000000003,6062976.666666667,0.012666666666666666,1.0,0.0,0.0,0.0,0.0
2000/1/7,65.56533333333333,67.913,64.68933333333334,67.31400000000001,26.509666666666664,6779151.133333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/10,53.501333333333335,54.41366666666667,52.44666666666667,53.208,25.224333333333334,8619873.333333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/11,52.775333333333336,54.29066666666667,51.809666666666665,53.109,25.217666666666666,13198963.333333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/12,52.811,53.37766666666666,50.27966666666667,51.099666666666664,23.988666666666667,14709176.666666666,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/13,50.885999999999996,52.832,50.466,52.247,24.773,12318990.0,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/16,52.23066666666667,53.475,51.275666666666666,52.520999999999994,24.880666666666666,10788853.333333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/17,52.66866666666667,53.378,51.026666666666664,52.001,24.588,9661943.333333334,0.0,1.0,0.0,0.0,0.0,0.0
2000/10/18,50.66566666666667,52.343666666666664,49.51566666666667,51.39833333333333,24.290666666666667,10404613.333333334,0.023,1.0,0.0,0.0,0.0,0.0
2000/10/19,51.970666666666666,53.02833333333333,50.927,52.119,24.761666666666667,13886850.0,0.004,1.0,0.0,0.0,0.0,0.0
